"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
457685,"JDT","Text","daniel_megert","RESOLVED","WORKSFORME","[console] A lot of CPU wasted when console fills horizontally","2015-04-24 07:44:23"
540114,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","Issue while migrating java 11","2018-10-14 14:30:47"
534797,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Eclipse freezes on CTRL while hovering comment","2018-05-17 06:27:35"
537552,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Code Editor window is flickering","2018-08-02 12:22:05"
496338,"JDT","Core","stephan.herrmann","CLOSED","WORKSFORME","Eclipse enters deadlock when running a project or making a new project","2019-01-31 14:47:08"
476042,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Adding file to build path and dragging it back destroys the file","2016-04-05 19:38:15"
539458,"JDT","Core","jdt-core-inbox","CLOSED","WORKSFORME","[9]Random compilation error: The package does not exist or is empty","2018-09-26 11:15:17"
525408,"JDT","Core","stephan.herrmann","RESOLVED","WORKSFORME","ERROR WHEN OPENING ECLIPSE NEON, on MacBook pro","2019-11-26 08:35:53"
550797,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","Tons of JavaBuilder handling CoreExceptions  - File not found","2019-09-05 11:39:26"
525831,"JDT","Debug","sarika.sinha","RESOLVED","WORKSFORME","Access rules not working when running with Java 9 JRE","2018-04-24 11:24:00"
526340,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Project cannot export as runnable jar by Java 9","2017-12-23 21:22:47"
478383,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Eclipse Luna SR1 4.4.2 hangs when creating index sometimes","2015-12-11 07:58:25"
488128,"JDT","Core","stephan.herrmann","CLOSED","WORKSFORME","JavaReconciler: Too many open files","2016-02-23 12:13:28"
548525,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","Formatting Java Source causes Eclipse to run out of heap space","2019-06-21 16:58:12"
534944,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Refactor-Rename not working - ""java.lang.NoSuchMethodError: org.eclipse.jdt.core.dom.SimpleName.isVar()Z""","2018-05-22 12:20:38"
544825,"JDT","Core","stephan.herrmann","RESOLVED","WORKSFORME","Java 11 compiler error ""The type java.util.ArrayList cannot be resolved""","2019-02-26 09:49:48"
460931,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","code file is completely destroyed after power saving","2015-06-10 02:54:56"
549569,"JDT","UI","stephan.herrmann","RESOLVED","WORKSFORME","[completion] javaCompletionProposalComputer is called even when it is disabled in preference","2019-07-28 13:09:20"
479975,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Eclipse randomly freezes during editing Java source code.","2015-12-11 09:21:41"
522661,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","Patch to support Java 9","2017-10-03 05:17:56"
511786,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","[newindex] blocks startup in JarPackageFragmentRoot.computeChildren","2017-02-07 08:01:56"
498170,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","Print Margin is broken for NEON","2016-08-08 05:39:39"
472692,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","JDT Itype resolveType takes more time in eclipse 4.4.x","2018-12-05 03:29:31"
476659,"JDT","Core","stephan.herrmann","RESOLVED","WORKSFORME","Eclipse fails to compile project which JDK 8 does compile fine","2019-11-28 15:21:56"
480886,"JDT","Core","stephan.herrmann","RESOLVED","WORKSFORME","[1.8] VerifyError when method reference is used as a lambda body","2019-02-27 20:10:02"
487502,"JDT","Core","mateusz.matela","RESOLVED","WORKSFORME","Java code style","2016-03-19 10:22:55"
525489,"JDT","Debug","sarika.sinha","RESOLVED","WORKSFORME","[9] Eclipse not installing","2017-10-03 05:36:28"
464560,"JDT","Debug","sarika.sinha","RESOLVED","WORKSFORME","Eclipse hangs on switching to expressions view","2019-02-08 01:27:31"
473595,"JDT","Core","stephan.herrmann","RESOLVED","WORKSFORME","Stuck at building workspace","2018-03-08 18:22:26"
481973,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Eclipse Mars will not/cannot create the .classpath file when updating the build path for a project (Windows 10)","2015-11-16 07:07:12"
458853,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","[content assist] Java content assist fails with ClassCastException in certain conditions","2015-03-05 05:33:23"
537243,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","UI Freezes when using Hierarchical Package Presentation","2018-09-07 13:41:31"
541682,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Eclipse should refer to JDK version, when performing Save Action(s) ""adding @Override annotation"" OR having and ability to act differently on a per-file base.","2019-02-27 04:28:37"
471643,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Jar creation slower on Mars and Linux","2016-06-23 11:38:09"
490636,"JDT","Core","jdt-core-inbox","CLOSED","WORKSFORME","NPE in Scope.getMethod while compiling Java","2016-04-01 22:46:40"
550105,"JDT","UI","kalyan_prasad","RESOLVED","WORKSFORME","[13][quick fix] Text Block: No Quick fix to enable preview feature when using text block","2019-09-12 02:53:33"
480033,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Eclipse stuck in infinite loading when using Dark theme","2016-05-24 04:51:45"
538995,"JDT","UI","stephan.herrmann","CLOSED","WORKSFORME","Project that depends on org.eclipse.jdt.ui.tests.refactoring was building under Oxygen, but won't build in Photon","2018-10-09 12:33:42"
517782,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","Java 9 Support (BETA) install fails","2017-06-06 22:17:01"
